longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rooms_per_household,population_per_household,bedrooms_per_room
-117.95,33.84,20,4200,840,1680,750,5.5,420000.0,<1H OCEAN,5.6,2.24,0.2
-118.0,33.86,18,5000,1000,2000,880,5.9,450000.0,<1H OCEAN,5.681818181818182,2.272727272727273,0.2
-119.5,36.5,30,1800,360,720,320,3.2,180000.0,INLAND,5.625,2.25,0.2
-119.55,36.52,25,2200,440,880,390,2.8,165000.0,INLAND,5.641025641025641,2.2564102564102564,0.2
-119.6,36.55,20,2600,520,1040,460,3.5,195000.0,INLAND,5.6521739130434785,2.260869565217391,0.2
-119.65,36.58,35,1500,300,600,270,2.5,155000.0,INLAND,5.555555555555555,2.2222222222222223,0.2
-119.7,36.6,40,1200,240,480,210,2.1,140000.0,INLAND,5.714285714285714,2.2857142857142856,0.2
-119.75,36.62,15,3000,600,1200,530,4.0,210000.0,INLAND,5.660377358490566,2.2641509433962264,0.2
-119.8,36.65,10,3800,760,1520,670,4.5,240000.0,INLAND,5.6716417910447765,2.2686567164179103,0.2
-119.85,36.68,45,1000,200,400,180,1.8,130000.0,INLAND,5.555555555555555,2.2222222222222223,0.2
-119.9,36.7,50,900,180,360,160,1.5,120000.0,INLAND,5.625,2.25,0.2
-119.95,36.72,22,2800,560,1120,495,3.8,200000.0,INLAND,5.656565656565657,2.2626262626262625,0.2
-124.1,41.75,20,1500,290,580,255,3.4,220000.0,NEAR OCEAN,5.882352941176471,2.2745098039215685,0.19333333333333333
-124.15,41.78,25,1800,360,720,320,3.0,200000.0,NEAR OCEAN,5.625,2.25,0.2
-124.2,41.8,30,1200,240,480,210,2.6,180000.0,NEAR OCEAN,5.714285714285714,2.2857142857142856,0.2
-121.9,36.6,40,2000,400,800,350,4.5,380000.0,NEAR OCEAN,5.714285714285714,2.2857142857142856,0.2
-121.85,36.58,35,2500,500,1000,440,5.0,400000.0,NEAR OCEAN,5.681818181818182,2.272727272727273,0.2
-122.0,37.5,28,3200,640,1280,560,5.5,430000.0,BAY,5.714285714285714,2.2857142857142856,0.2
-122.05,37.52,32,2800,560,1120,495,4.8,410000.0,BAY,5.656565656565657,2.2626262626262625,0.2
-122.1,37.55,22,3600,720,1440,635,5.2,440000.0,BAY,5.669291338582677,2.267716535433071,0.2
-122.15,37.58,18,4200,840,1680,740,5.8,470000.0,BAY,5.675675675675675,2.27027027027027,0.2
-122.2,37.61,15,4800,960,1920,845,6.2,500000.0,BAY,5.680473372781065,2.272189349112426,0.2
-121.8,37.3,38,1800,350,700,310,3.9,290000.0,INLAND,5.806451612903226,2.2580645161290325,0.19444444444444445
-121.85,37.32,42,1500,300,600,265,3.5,270000.0,INLAND,5.660377358490566,2.2641509433962264,0.2
-121.9,37.35,48,1200,240,480,210,3.1,250000.0,INLAND,5.714285714285714,2.2857142857142856,0.2
-121.95,37.38,28,2200,440,880,390,4.2,310000.0,INLAND,5.641025641025641,2.2564102564102564,0.2
-122.0,37.4,25,2600,520,1040,460,4.6,330000.0,INLAND,5.6521739130434785,2.260869565217391,0.2
-118.5,34.2,22,5200,1040,2080,920,5.1,460000.0,<1H OCEAN,5.6521739130434785,2.260869565217391,0.2
-118.55,34.22,18,5800,1160,2320,1020,5.7,490000.0,<1H OCEAN,5.686274509803922,2.2745098039215685,0.2
-118.6,34.25,15,6400,1280,2560,1120,6.3,520000.0,<1H OCEAN,5.714285714285714,2.2857142857142856,0.2
-118.65,34.28,20,5600,1120,2240,985,5.4,480000.0,<1H OCEAN,5.685279187817259,2.2741116751269037,0.2
-118.7,34.3,25,4800,960,1920,845,4.8,450000.0,<1H OCEAN,5.680473372781065,2.272189349112426,0.2
